standard,exponential,lorentz
0.122649,1.77244,0.879663
0.331166,0.739998,0.229586
0.705029,2.45332,0.533577
0.905484,0.990216,1.77341
0.776048,3.8567,-1.7114
0.572439,1.27571,0.145072
0.0173017,0.539262,-4.85625
0.754654,1.45604,-1.4392
0.493226,0.279651,-0.0656342
0.49426,1.35521,-1.06981
0.471797,0.536285,0.384379
0.580468,2.47749,-1.82907
0.931865,0.282294,0.00583648
0.024284,0.376869,-0.435163
0.651955,1.54247,0.627503
0.0982145,2.1123,0.635223
0.577269,0.174348,-5.97772
0.453507,0.266881,10.6744
0.22611,0.00540414,3.8374
0.939875,0.206673,-17.7219
0.133804,2.92846,0.793048
0.111777,0.0146313,-0.328321
0.272751,1.38085,0.12043
0.282193,0.730788,-54.08
0.214718,4.02524,-2.66526
0.548522,1.35082,-2.11688
0.902262,1.99589,-1.0676
0.831703,0.289323,0.467162
0.201218,1.83824,0.612506
0.0642171,0.916511,-0.604799
0.98646,1.06936,-0.200915
0.0286961,0.167512,0.0833308
0.576023,0.15817,0.734577
0.848058,1.27316,4.94903
0.95178,0.0777316,2.57099
0.29042,0.245997,-28.5513
0.830226,0.149486,0.930884
0.144774,1.34541,2.06919
0.547801,2.42915,0.283398
0.623628,0.350143,5.74641
0.341636,0.274379,-8.03437
0.61281,1.54585,-0.0116683
0.838501,0.00771848,-5.56754
0.0778181,2.44288,4.18966
0.793058,2.21741,-0.52412
0.818053,0.817484,4.95672
0.916148,3.01271,-4.00311
0.269545,0.102724,0.620936
0.82428,0.436751,-1.4973
0.258761,2.81199,-2.27474
0.0129601,0.972272,-1.93977
0.977601,0.193627,1.09236
0.994451,0.114542,-0.170611
0.721584,0.513483,-1.0098
0.758309,0.799895,-0.013166
0.887488,1.02443,-1.99134
0.793687,1.26638,1.46203
0.565043,0.359097,0.330677
0.742493,0.436249,-4890.76
0.656518,1.21617,0.545425
0.624291,0.460424,-2.76623
0.811177,0.896406,5.70693
0.714217,0.142409,2.63234
0.189353,0.0310426,-0.985815
0.331877,0.153278,1.36099
0.950338,0.481035,-1.96718
0.538703,1.24129,0.126821
0.375554,0.411145,-1.75594
0.182797,4.75916,-0.236836
0.0363917,1.56666,-9.72735
0.326359,1.58009,0.0397384
0.469377,0.653336,0.336335
0.0528965,0.564359,3.20603
0.03444,1.2291,0.304892
0.226655,1.77076,-4.12686
0.117887,4.08584,-0.262912
0.129179,0.411635,-0.527659
0.20123,2.75941,-14.0953
0.55524,0.740928,1.00909
0.00272278,0.94063,9.89321
0.464306,1.59444,1.57717
0.406665,0.0676061,-2.40378
0.9404,0.0778399,0.348155
0.796017,1.2421,3.01559
0.316772,0.70802,0.922753
0.276452,1.08001,-0.0104638
0.762162,0.658877,0.201195
0.191122,0.404598,-0.70356
0.128552,0.361054,-0.0313013
0.540384,0.832959,0.55754
0.507188,0.334366,-0.36614
0.1087,4.18947,-0.478705
0.227309,0.808511,-0.450521
0.353772,0.897139,-3.3197
0.937103,0.414748,1.16801
0.659979,2.16111,-1.37568
0.600722,0.944626,0.216339
0.123018,0.295611,0.376284
0.797921,0.602933,-32.123
0.338997,0.626162,-0.901853
0.304051,0.525755,7.20985
0.668515,0.00241004,-4.89326
0.783439,0.567134,-0.311215
0.3883,1.77448,-1.77519
0.875059,1.17234,-2.07049
0.713437,0.124769,0.862152
0.674181,0.784888,2.01003
0.917968,0.453936,-1.62046
0.40814,2.99216,2.43432
0.666114,1.97004,-9.13033
0.0427567,0.0348197,1.96398
0.642261,0.210144,-1.10457
0.265938,1.37982,3.33285
0.593749,2.29101,-0.836972
0.152361,1.16969,1.32224
0.924232,2.67106,1.66498
0.584638,0.10456,-1.04485
0.949207,0.842706,2.35595
0.151972,0.151003,0.85665
0.985176,0.243263,0.502536
0.27989,0.547599,8.65227
0.950077,0.672744,-0.354279
0.333182,0.368912,-0.130984
0.847824,0.37025,0.0317649
0.924314,0.569683,0.133405
0.115876,0.469585,0.606664
0.971477,0.0897787,0.086429
0.951085,1.6477,3.98382
0.10362,0.25807,-0.166744
0.0969716,0.32899,-0.269459
0.510107,0.960177,-1.20357
0.917496,1.44573,-1.36001
0.344377,0.980528,20.0308
