Nblocks,throws,mean_I,var_I,stdev_I
3,3000,0.987856,5.90857e-07,0.000768672
4,4000,0.99545,9.81995e-05,0.00990956
5,5000,1.00905,6.25225e-05,0.00790712
6,6000,0.989307,7.87123e-05,0.008872
7,7000,1.00082,2.9288e-05,0.00541184
8,8000,1.00901,1.53382e-05,0.0039164
9,9000,0.989688,1.76664e-05,0.00420315
10,10000,0.99456,1.99231e-05,0.00446353
11,11000,0.987769,2.09607e-05,0.00457829
12,12000,1.00305,2.86521e-05,0.00535276
13,13000,1.00025,2.67742e-05,0.00517438
14,14000,0.998988,2.23187e-05,0.00472426
15,15000,1.00317,2.75873e-05,0.00525236
16,16000,0.993041,1.37132e-05,0.00370314
17,17000,1.00207,1.09212e-05,0.00330472
18,18000,1.00506,1.16298e-05,0.00341024
19,19000,0.997092,1.13831e-05,0.00337388
20,20000,0.994893,1.06073e-05,0.00325688
21,21000,1.00108,9.67035e-06,0.00310972
22,22000,0.996006,1.31816e-05,0.00363065
23,23000,0.994026,1.21463e-05,0.00348515
24,24000,0.993084,1.20319e-05,0.0034687
25,25000,1.00397,1.30812e-05,0.0036168
26,26000,1.00373,6.52861e-06,0.00255511
27,27000,0.997522,7.6492e-06,0.00276572
28,28000,0.997031,9.03174e-06,0.00300529
29,29000,1.00039,5.43977e-06,0.00233233
30,30000,0.999898,9.33323e-06,0.00305503
31,31000,1.00488,6.92066e-06,0.00263072
32,32000,1.00017,6.74737e-06,0.00259757
33,33000,1.00117,5.00033e-06,0.00223614
34,34000,0.998219,5.74868e-06,0.00239764
35,35000,1.00441,6.39436e-06,0.00252871
36,36000,1.00368,4.51476e-06,0.0021248
37,37000,0.9964,6.21751e-06,0.00249349
38,38000,0.998787,3.51488e-06,0.0018748
39,39000,0.999401,3.31065e-06,0.00181952
40,40000,1.00304,9.73173e-06,0.00311957
41,41000,1.00424,5.46821e-06,0.00233842
42,42000,0.999179,2.84508e-06,0.00168674
43,43000,0.997562,4.51227e-06,0.00212421
44,44000,0.998449,6.77337e-06,0.00260257
45,45000,1.00209,3.14437e-06,0.00177324
46,46000,1.00176,5.56228e-06,0.00235845
47,47000,1.00231,5.32404e-06,0.00230739
48,48000,1.00203,4.01916e-06,0.00200478
49,49000,0.998239,4.74035e-06,0.00217723
50,50000,1.00345,4.55598e-06,0.00213447
51,51000,0.998984,3.60999e-06,0.0019
52,52000,0.998817,4.87211e-06,0.00220729
53,53000,1.00056,5.2594e-06,0.00229334
54,54000,0.998594,4.55758e-06,0.00213485
55,55000,1.00384,4.00976e-06,0.00200244
56,56000,1.0007,3.83994e-06,0.00195958
57,57000,1.00152,3.20921e-06,0.00179143
58,58000,1.00159,5.24483e-06,0.00229016
59,59000,0.997938,2.88874e-06,0.00169963
60,60000,1.00006,5.11395e-06,0.0022614
61,61000,1.0003,4.05023e-06,0.00201252
62,62000,0.999719,4.29811e-06,0.00207319
63,63000,1.00049,2.93823e-06,0.00171413
64,64000,0.998659,2.70935e-06,0.00164601
65,65000,0.999229,3.06465e-06,0.00175061
66,66000,0.99941,2.17473e-06,0.0014747
67,67000,1.00057,3.89162e-06,0.00197272
68,68000,0.999679,3.37703e-06,0.00183767
69,69000,0.998581,3.46655e-06,0.00186187
70,70000,1.00019,3.55348e-06,0.00188507
71,71000,1.00079,2.57228e-06,0.00160383
72,72000,0.99883,2.59852e-06,0.00161199
73,73000,1.00187,2.93712e-06,0.0017138
74,74000,1.00301,3.20793e-06,0.00179107
75,75000,0.998014,3.01018e-06,0.00173499
76,76000,1.00161,3.94561e-06,0.00198636
77,77000,0.998736,2.89008e-06,0.00170002
78,78000,1.00341,3.09587e-06,0.00175951
79,79000,1.00255,3.68134e-06,0.00191868
80,80000,0.99855,2.47758e-06,0.00157403
81,81000,0.997272,2.37317e-06,0.00154051
82,82000,0.999955,3.21977e-06,0.00179437
83,83000,1.00059,2.94864e-06,0.00171716
84,84000,0.999648,3.19187e-06,0.00178658
85,85000,1.00109,3.53737e-06,0.00188079
86,86000,1.00117,2.17653e-06,0.00147531
87,87000,0.999322,2.44796e-06,0.00156459
88,88000,1.00202,2.73296e-06,0.00165317
89,89000,1.00256,2.54809e-06,0.00159627
90,90000,1.0008,2.03307e-06,0.00142586
91,91000,1.00071,2.67411e-06,0.00163527
92,92000,1.00104,2.46948e-06,0.00157146
93,93000,0.998541,2.42772e-06,0.00155811
94,94000,0.999845,2.27534e-06,0.00150842
95,95000,1.00122,2.6758e-06,0.00163579
96,96000,1.00083,2.18605e-06,0.00147853
97,97000,1.00032,2.40745e-06,0.00155159
98,98000,0.99979,2.02385e-06,0.00142262
99,99000,1.00035,2.25522e-06,0.00150174
100,100000,0.998967,2.82528e-06,0.00168086
